city,lat,long,max_temp,humidity,cloudiness,wind_speed,country,date
honningsvag,70.9821,25.9704,45.99,73,99,9.86,NO,1627266976
sistranda,63.7256,8.834,54.9,95,34,11.27,NO,1627267370
eten,-6.9081,-79.8642,64.96,85,13,12.17,PE,1627267370
kodinsk,58.6881,99.1844,83.19,38,100,5.23,RU,1627267059
chumphon,10.3333,98.8333,80.71,84,82,7.45,TH,1627267370
hoquiam,46.9809,-123.8893,79.66,51,1,14.97,US,1627267371
nishihara,26.1842,127.7558,85.66,95,75,10.36,JP,1627266926
sao filipe,14.8961,-24.4956,73.71,76,83,4.61,CV,1627266921
georgetown,5.4112,100.3354,87.73,79,20,1.01,MY,1627266847
san jose de gracia,20.6667,-102.5833,56.62,89,90,2.24,MX,1627267371
pueblo,38.2545,-104.6091,75.78,64,90,1.01,US,1627267371
huarmey,-10.0681,-78.1522,64.87,87,1,10.11,PE,1627267371
sisimiut,66.9395,-53.6735,46.99,81,100,7.23,GL,1627267372
wau,7.7029,27.9953,69.13,99,100,4.7,SS,1627267372
kashi,39.4547,75.9797,87.01,25,0,6.71,CN,1627267372
tongzi,28.7829,105.0877,84.29,77,2,2.66,CN,1627267372
avera,33.194,-82.5271,79.75,70,54,3.47,US,1627267373
meulaboh,4.1363,96.1285,83.23,71,90,0.49,ID,1627267373
tuscaloosa,33.2098,-87.5692,80.38,85,75,10.36,US,1627267297
veraval,20.9,70.3667,79.16,90,100,20.87,IN,1627267373
nantucket,41.2835,-70.0995,73.96,91,90,16.11,US,1627267373
narok,-1.0783,35.8601,53.94,73,95,6.93,KE,1627267373
guerrero negro,27.9769,-114.0611,68.77,81,2,15.84,MX,1627267374
tumaco,1.7986,-78.8156,76.33,87,99,8.05,CO,1627267374
bambous virieux,-20.3428,57.7575,70.05,64,20,9.22,MU,1627266901
sorland,67.667,12.6934,54.16,82,100,4.54,NO,1627266890
aklavik,68.2191,-135.0107,56.23,82,100,12.46,CA,1627266888
imperia,43.9667,7.7833,71.47,88,7,6.04,IT,1627267374
tocopilla,-22.092,-70.1979,59.49,78,40,7.07,CL,1627267313
progreso,21.2833,-89.6667,82.51,83,70,10.27,MX,1627267375
klamath falls,42.2249,-121.7817,89.51,23,1,17.27,US,1627267359
palu,-0.8917,119.8707,90.63,51,20,0.96,ID,1627267375
mbuji-mayi,-6.15,23.6,68.32,42,25,6.08,CD,1627267375
chapais,49.7834,-74.8492,55.18,92,82,3.78,CA,1627266939
urumqi,43.801,87.6005,86.95,19,0,6.71,CN,1627267375
lufilufi,-13.8745,-171.5986,87.58,75,14,12.53,WS,1627266918
antofagasta,-23.65,-70.4,56.48,84,49,8.21,CL,1627266916
bafoulabe,13.8065,-10.8321,76.95,87,30,4.25,ML,1627267376
monopoli,40.9559,17.2896,84.07,53,21,10.11,IT,1627267376
vestmannaeyjar,63.4427,-20.2734,50.49,79,98,17.38,IS,1627267376
